datetime,aqi_us_lag1,aqi_us_lag12,aqi_us_lag24,scaled_humidity_%,scaled_temp_C_scaled_log_windspeed_kph,day_of_week,scaled_temp_C,scaled_temp_C_scaled_o3,aqi_us,scaled_log_pm2_5_lag1,scaled_log_pm2_5_lag12,scaled_log_pm2_5_lag24,scaled_log_pm10_lag1,scaled_log_pm10_lag12,scaled_log_pm10_lag24,scaled_log_no2,scaled_log_so2
2025-04-05 03:00:00,62.0,145.0,65.0,-0.887783499,2.014808372,5,-1.567158346,0.904003248,61,-1.78097577,-0.548703055,-0.563023804,-2.247730338,-1.272791591,-1.346790821,1.594039065,0.142597673
2025-04-05 04:00:00,61.0,120.0,63.0,-0.887783499,2.014808372,5,-1.567158346,-0.029957134,60,-1.081302485,-0.818209629,0.088474298,-1.901815485,-1.490085014,-1.091725883,1.411253914,0.536252966
2025-04-05 05:00:00,60.0,86.0,62.0,-0.528782358,2.761778747,5,-1.630161426,-1.513988813,60,-1.222581877,-0.963192686,-0.199636653,-1.930538183,-1.574306242,-1.097662106,0.900451762,0.866721626
2025-04-05 06:00:00,60.0,65.0,62.0,-0.53551363,2.419806162,5,-1.882173746,-3.046847846,59,-1.409666655,-1.030081952,-0.342123376,-1.930538183,-1.630133626,-0.798267626,0.292756726,1.052047831
2025-04-05 07:00:00,59.0,65.0,62.0,-0.349281788,4.113177239,5,-2.197189147,-4.314884597,58,-1.508038501,-1.030081952,-0.028044581,-1.605985199,-1.687835657,-0.25099382,-0.177604204,1.019195481
2025-04-05 08:00:00,58.0,64.0,63.0,0.144905719,0.778155667,5,-1.315146026,-2.78896613,57,-1.609936961,-1.16877593,0.211359007,-1.424120358,-1.827488885,0.04834785,-0.570110432,0.866721626
2025-04-05 09:00:00,57.0,64.0,63.0,-0.479419702,0.565180802,5,-0.622112145,-1.319282929,56,-1.847865036,-1.528128073,0.2655066,-1.543200691,-2.081826554,0.084592457,-0.73243038,0.669143009
2025-04-05 10:00:00,56.0,63.0,82.0,-0.828323935,0.278993403,5,-0.307096744,-0.574185434,55,-2.010347125,-1.986559014,0.122518569,-1.671150722,-2.367956604,-0.118195418,-0.458214626,0.47744057
2025-04-05 11:00:00,55.0,63.0,114.0,-1.406652334,-0.349819885,5,0.448940217,0.656333088,66,-2.034335981,-2.448545506,-0.076023149,-1.747542621,-2.651651893,-0.394920002,0.008361364,0.251319971
2025-04-05 12:00:00,66.0,62.0,139.0,-2.142604671,-0.504289443,5,1.582995659,1.668794556,80,-2.082929689,-2.804342098,-0.506168656,-1.836605802,-2.854066133,-0.636291363,0.554067483,0.164660752
2025-04-05 13:00:00,80.0,62.0,154.0,-2.203747053,-0.704996172,5,2.21302646,1.430588101,87,-2.476552261,-2.711131693,-0.436662438,-2.757674435,-2.565707247,-0.906516986,0.961660758,-0.040026041
2025-04-05 14:00:00,87.0,62.0,156.0,-2.352956902,1.099068694,5,2.4020357,0.271944529,85,-2.182682473,-2.562267176,-0.534454089,-2.593880578,-2.622523487,-1.079914601,1.382547927,-0.310868514
2025-04-05 15:00:00,85.0,61.0,145.0,-2.751784731,2.796131823,5,2.52804186,-0.665330732,75,-1.80309777,-1.78097577,-0.548703055,-2.380455093,-2.247730338,-1.272791591,1.563243598,-0.608715282
2025-04-05 16:00:00,75.0,60.0,120.0,-2.805634902,1.750346494,5,2.52804186,-0.665330732,60,-1.939571784,-1.081302485,-0.818209629,-2.431378368,-1.901815485,-1.490085014,1.428236749,-0.814971797
2025-04-05 17:00:00,60.0,60.0,86.0,-2.65866881,1.092678093,5,2.087020299,-0.156491122,49,-2.182682473,-1.222581877,-0.963192686,-2.537988343,-1.930538183,-1.574306242,1.084531878,-0.971527654
2025-04-05 18:00:00,49.0,59.0,65.0,-2.672692292,0.214636289,5,1.582995659,0.129565007,48,-2.366143717,-1.409666655,-1.030081952,-2.622523487,-1.930538183,-1.630133626,0.68388442,-1.170903766
2025-04-05 19:00:00,48.0,58.0,65.0,-1.655148436,0.209780645,5,0.637949457,0.112245038,47,-2.533407409,-1.508038501,-1.030081952,-2.637025977,-1.605985199,-1.687835657,0.315282726,-1.459274984
2025-04-05 20:00:00,47.0,57.0,64.0,-0.610679494,0.181705352,5,-0.307096744,-0.092562466,46,-2.711131693,-1.609936961,-1.16877593,-2.651651893,-1.424120358,-1.827488885,-0.089117939,-1.778461445
2025-04-05 21:00:00,46.0,56.0,64.0,-0.842908356,0.565180802,5,-0.622112145,-0.226538299,45,-2.933576291,-1.847865036,-1.528128073,-2.651651893,-1.543200691,-2.081826554,-0.494662136,-2.04241517
2025-04-05 22:00:00,45.0,55.0,63.0,-0.857492777,0.554486799,5,-0.937127545,-0.400037482,44,-3.139159535,-2.010347125,-1.986559014,-2.681282536,-1.671150722,-2.367956604,-0.936849006,-2.183679262
2025-04-05 23:00:00,44.0,66.0,63.0,-0.180439065,0.986228611,5,-1.063133705,-0.487172987,44,-3.360777897,-2.034335981,-2.448545506,-2.821331148,-1.747542621,-2.651651893,-1.286695071,-2.183679262
